# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  13100    3.12e+00  2.96e+00    6.46e-03  6.05e-03    1.15e-01  1.09e-01    7.4e-04
  13200    2.66e+00  2.46e+00    2.12e-02  2.07e-02    9.78e-02  9.07e-02    7.4e-04
  13300    3.46e+00  3.51e+00    9.71e-03  9.78e-03    1.28e-01  1.29e-01    7.4e-04
  13400    2.64e+00  3.04e+00    6.11e-03  5.59e-03    9.74e-02  1.12e-01    7.4e-04
  13500    2.52e+00  3.04e+00    1.11e-02  1.15e-02    9.29e-02  1.12e-01    7.4e-04
  13600    2.55e+00  2.50e+00    5.84e-03  6.96e-03    9.40e-02  9.20e-02    7.4e-04
  13700    4.24e+00  4.20e+00    9.43e-03  9.38e-03    1.56e-01  1.55e-01    7.4e-04
  13800    3.32e+00  3.18e+00    1.60e-02  1.52e-02    1.23e-01  1.17e-01    7.4e-04
  13900    2.56e+00  2.51e+00    2.56e-02  2.54e-02    9.41e-02  9.22e-02    7.4e-04
  14000    2.88e+00  2.88e+00    1.56e-03  1.42e-03    1.09e-01  1.09e-01    7.0e-04
  14100    4.31e+00  4.19e+00    6.55e-03  6.93e-03    1.63e-01  1.59e-01    7.0e-04
  14200    2.63e+00  2.44e+00    2.67e-02  2.58e-02    9.93e-02  9.22e-02    7.0e-04
  14300    2.78e+00  2.57e+00    3.28e-02  3.33e-02    1.05e-01  9.66e-02    7.0e-04
  14400    2.60e+00  2.56e+00    2.91e-02  3.00e-02    9.80e-02  9.64e-02    7.0e-04
  14500    2.34e+00  2.16e+00    6.37e-03  7.23e-03    8.84e-02  8.17e-02    7.0e-04
  14600    3.01e+00  2.83e+00    1.48e-02  1.50e-02    1.14e-01  1.07e-01    7.0e-04
  14700    2.59e+00  3.21e+00    1.45e-02  1.35e-02    9.80e-02  1.22e-01    7.0e-04
  14800    2.46e+00  2.56e+00    1.63e-02  1.56e-02    9.30e-02  9.68e-02    7.0e-04
  14900    2.30e+00  2.27e+00    2.39e-03  2.38e-03    8.69e-02  8.57e-02    7.0e-04
  15000    2.33e+00  2.33e+00    1.27e-02  1.18e-02    8.80e-02  8.81e-02    7.0e-04
  15100    2.92e+00  2.91e+00    9.74e-03  9.59e-03    1.11e-01  1.10e-01    7.0e-04
  15200    2.67e+00  3.16e+00    8.45e-03  7.63e-03    1.01e-01  1.20e-01    7.0e-04
  15300    2.38e+00  2.53e+00    2.60e-03  2.86e-03    9.01e-02  9.57e-02    7.0e-04
  15400    2.35e+00  2.42e+00    2.41e-03  1.70e-03    8.89e-02  9.17e-02    7.0e-04
  15500    2.48e+00  2.49e+00    1.11e-03  5.84e-04    9.37e-02  9.40e-02    7.0e-04
  15600    2.52e+00  2.92e+00    1.83e-02  1.73e-02    9.53e-02  1.10e-01    7.0e-04
  15700    2.48e+00  2.35e+00    1.54e-02  1.46e-02    9.36e-02  8.87e-02    7.0e-04
  15800    2.32e+00  2.09e+00    1.11e-02  1.18e-02    8.77e-02  7.88e-02    7.0e-04
  15900    2.79e+00  2.85e+00    2.17e-02  2.28e-02    1.05e-01  1.08e-01    7.0e-04
  16000    2.24e+00  2.28e+00    5.25e-03  4.76e-03    8.70e-02  8.86e-02    6.6e-04
  16100    2.51e+00  2.30e+00    2.02e-03  1.63e-03    9.75e-02  8.93e-02    6.6e-04
  16200    2.43e+00  2.51e+00    1.05e-02  1.16e-02    9.42e-02  9.73e-02    6.6e-04
  16300    3.21e+00  2.98e+00    1.07e-02  1.19e-02    1.25e-01  1.16e-01    6.6e-04
  16400    2.74e+00  2.74e+00    5.24e-03  5.92e-03    1.06e-01  1.06e-01    6.6e-04
  16500    2.51e+00  2.53e+00    1.90e-02  1.89e-02    9.74e-02  9.80e-02    6.6e-04
  16600    2.46e+00  2.39e+00    1.43e-02  1.33e-02    9.54e-02  9.25e-02    6.6e-04
  16700    2.18e+00  2.16e+00    8.87e-03  9.70e-03    8.46e-02  8.37e-02    6.6e-04
  16800    2.31e+00  2.20e+00    9.38e-03  8.92e-03    8.95e-02  8.53e-02    6.6e-04
  16900    2.15e+00  2.07e+00    1.05e-02  9.91e-03    8.36e-02  8.04e-02    6.6e-04
  17000    2.53e+00  2.36e+00    4.62e-03  3.99e-03    9.80e-02  9.17e-02    6.6e-04
  17100    2.20e+00  2.37e+00    2.21e-02  2.31e-02    8.52e-02  9.16e-02    6.6e-04
  17200    2.17e+00  2.23e+00    3.03e-03  2.69e-03    8.43e-02  8.65e-02    6.6e-04
  17300    2.43e+00  2.45e+00    2.23e-02  2.38e-02    9.39e-02  9.47e-02    6.6e-04
  17400    2.22e+00  2.21e+00    8.04e-03  8.50e-03    8.60e-02  8.56e-02    6.6e-04
  17500    2.20e+00  2.13e+00    1.73e-02  1.68e-02    8.54e-02  8.26e-02    6.6e-04
  17600    2.35e+00  2.10e+00    3.23e-02  3.37e-02    9.08e-02  8.07e-02    6.6e-04
  17700    2.56e+00  2.44e+00    4.32e-03  5.53e-03    9.93e-02  9.46e-02    6.6e-04
  17800    2.20e+00  2.27e+00    3.26e-02  3.35e-02    8.47e-02  8.76e-02    6.6e-04
  17900    2.23e+00  2.14e+00    1.24e-02  1.18e-02    8.67e-02  8.32e-02    6.6e-04
  18000    2.12e+00  2.03e+00    2.00e-02  1.90e-02    8.41e-02  8.06e-02    6.3e-04
  18100    2.12e+00  2.05e+00    1.41e-02  1.51e-02    8.43e-02  8.17e-02    6.3e-04
  18200    2.12e+00  2.11e+00    9.50e-03  8.59e-03    8.43e-02  8.39e-02    6.3e-04
  18300    2.12e+00  2.46e+00    1.08e-03  6.05e-04    8.42e-02  9.81e-02    6.3e-04
  18400    2.20e+00  2.07e+00    1.39e-02  1.50e-02    8.77e-02  8.22e-02    6.3e-04
  18500    2.06e+00  1.82e+00    8.88e-04  5.87e-04    8.22e-02  7.27e-02    6.3e-04
  18600    2.08e+00  1.95e+00    2.58e-03  2.51e-03    8.28e-02  7.78e-02    6.3e-04
  18700    2.44e+00  2.66e+00    2.25e-02  2.21e-02    9.69e-02  1.06e-01    6.3e-04
  18800    2.03e+00  1.84e+00    1.64e-02  1.61e-02    8.08e-02  7.32e-02    6.3e-04
  18900    2.05e+00  2.01e+00    1.35e-02  1.25e-02    8.17e-02  7.99e-02    6.3e-04
  19000    2.01e+00  1.82e+00    1.34e-03  1.50e-03    8.00e-02  7.24e-02    6.3e-04
  19100    2.38e+00  2.39e+00    1.28e-02  1.19e-02    9.47e-02  9.49e-02    6.3e-04
  19200    2.04e+00  2.05e+00    2.38e-03  1.44e-03    8.11e-02  8.15e-02    6.3e-04
  19300    2.20e+00  2.15e+00    3.49e-03  2.34e-03    8.76e-02  8.56e-02    6.3e-04
  19400    2.11e+00  2.10e+00    5.61e-03  6.72e-03    8.41e-02  8.35e-02    6.3e-04
  19500    2.18e+00  2.03e+00    1.62e-02  1.52e-02    8.65e-02  8.06e-02    6.3e-04
  19600    2.27e+00  2.09e+00    1.37e-02  1.30e-02    9.02e-02  8.31e-02    6.3e-04
  19700    2.02e+00  1.82e+00    3.53e-03  2.40e-03    8.05e-02  7.27e-02    6.3e-04
  19800    2.37e+00  2.35e+00    1.55e-02  1.50e-02    9.41e-02  9.35e-02    6.3e-04
  19900    2.02e+00  2.08e+00    1.61e-02  1.64e-02    8.03e-02  8.25e-02    6.3e-04
  20000    2.02e+00  1.85e+00    2.06e-02  2.13e-02    8.21e-02  7.53e-02    6.0e-04
  20100    2.06e+00  2.02e+00    1.26e-02  1.23e-02    8.39e-02  8.23e-02    6.0e-04
  20200    2.12e+00  2.04e+00    1.32e-02  1.31e-02    8.66e-02  8.31e-02    6.0e-04
  20300    2.27e+00  2.26e+00    5.68e-03  5.09e-03    9.25e-02  9.24e-02    6.0e-04
  20400    1.94e+00  2.03e+00    9.27e-03  9.48e-03    7.92e-02  8.29e-02    6.0e-04
  20500    1.90e+00  1.89e+00    8.05e-03  7.39e-03    7.75e-02  7.70e-02    6.0e-04
  20600    2.02e+00  2.10e+00    7.50e-04  2.81e-04    8.26e-02  8.59e-02    6.0e-04
  20700    1.93e+00  1.86e+00    8.06e-03  7.08e-03    7.87e-02  7.59e-02    6.0e-04
  20800    2.16e+00  2.15e+00    1.01e-03  1.29e-03    8.84e-02  8.76e-02    6.0e-04
  20900    2.03e+00  1.97e+00    1.26e-02  1.34e-02    8.30e-02  8.03e-02    6.0e-04
  21000    2.09e+00  2.17e+00    1.98e-03  1.87e-03    8.53e-02  8.88e-02    6.0e-04
  21100    3.07e+00  3.05e+00    5.32e-03  5.41e-03    1.25e-01  1.24e-01    6.0e-04
  21200    2.32e+00  2.14e+00    1.04e-02  1.04e-02    9.46e-02  8.75e-02    6.0e-04
  21300    1.98e+00  1.89e+00    5.01e-03  6.07e-03    8.10e-02  7.71e-02    6.0e-04
  21400    2.05e+00  1.92e+00    1.03e-02  1.00e-02    8.35e-02  7.82e-02    6.0e-04
  21500    1.93e+00  1.87e+00    2.45e-02  2.51e-02    7.82e-02  7.58e-02    6.0e-04
  21600    1.92e+00  1.83e+00    1.62e-02  1.60e-02    7.83e-02  7.46e-02    6.0e-04
  21700    1.97e+00  2.00e+00    1.84e-02  1.69e-02    8.01e-02  8.16e-02    6.0e-04
  21800    1.93e+00  1.93e+00    2.95e-02  2.97e-02    7.83e-02  7.82e-02    6.0e-04
  21900    2.08e+00  2.04e+00    1.21e-02  1.15e-02    8.50e-02  8.32e-02    6.0e-04
  22000    2.02e+00  1.96e+00    9.96e-03  1.04e-02    8.48e-02  8.22e-02    5.7e-04
