# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 200300    1.27e-01  1.23e-01    6.00e-04  3.61e-04    4.81e-02  4.67e-02    5.9e-06
 200400    1.26e-01  1.28e-01    3.83e-04  2.62e-05    4.80e-02  4.86e-02    5.9e-06
 200500    1.27e-01  1.19e-01    3.80e-04  1.06e-05    4.83e-02  4.53e-02    5.9e-06
 200600    1.27e-01  1.28e-01    3.86e-04  3.98e-05    4.81e-02  4.86e-02    5.9e-06
 200700    1.28e-01  1.20e-01    1.10e-03  7.90e-04    4.82e-02  4.56e-02    5.9e-06
 200800    1.28e-01  1.29e-01    8.12e-04  4.38e-05    4.85e-02  4.89e-02    5.9e-06
 200900    1.27e-01  1.17e-01    1.11e-03  4.80e-04    4.81e-02  4.46e-02    5.9e-06
 201000    1.27e-01  1.19e-01    6.47e-04  4.82e-04    4.80e-02  4.52e-02    5.9e-06
 201100    1.27e-01  1.22e-01    8.63e-04  8.04e-04    4.79e-02  4.61e-02    5.9e-06
 201200    1.28e-01  1.27e-01    1.01e-03  2.39e-04    4.82e-02  4.81e-02    5.9e-06
 201300    1.27e-01  1.23e-01    1.22e-03  1.23e-03    4.80e-02  4.64e-02    5.9e-06
 201400    1.27e-01  1.25e-01    5.30e-04  8.72e-05    4.82e-02  4.74e-02    5.9e-06
 201500    1.27e-01  1.16e-01    8.48e-04  2.01e-05    4.81e-02  4.40e-02    5.9e-06
 201600    1.27e-01  1.23e-01    6.85e-04  1.52e-04    4.81e-02  4.67e-02    5.9e-06
 201700    1.27e-01  1.22e-01    4.14e-04  1.06e-04    4.82e-02  4.65e-02    5.9e-06
 201800    1.27e-01  1.33e-01    4.15e-04  1.03e-04    4.83e-02  5.06e-02    5.9e-06
 201900    1.27e-01  1.22e-01    5.36e-04  8.71e-04    4.81e-02  4.60e-02    5.9e-06
 202000    1.24e-01  1.27e-01    5.24e-04  9.62e-04    4.80e-02  4.92e-02    5.6e-06
 202100    1.25e-01  1.23e-01    1.00e-03  2.19e-04    4.81e-02  4.79e-02    5.6e-06
 202200    1.24e-01  1.17e-01    4.50e-04  3.04e-04    4.81e-02  4.55e-02    5.6e-06
 202300    1.24e-01  1.17e-01    4.67e-04  2.65e-05    4.81e-02  4.54e-02    5.6e-06
 202400    1.24e-01  1.30e-01    4.87e-04  7.69e-04    4.81e-02  5.05e-02    5.6e-06
 202500    1.25e-01  1.23e-01    4.81e-04  9.94e-04    4.86e-02  4.74e-02    5.6e-06
 202600    1.25e-01  1.12e-01    4.71e-04  4.51e-04    4.84e-02  4.36e-02    5.6e-06
 202700    1.24e-01  1.31e-01    3.68e-04  2.53e-04    4.80e-02  5.08e-02    5.6e-06
 202800    1.24e-01  1.14e-01    4.71e-04  9.43e-05    4.80e-02  4.41e-02    5.6e-06
 202900    1.24e-01  1.24e-01    9.61e-04  7.66e-05    4.80e-02  4.82e-02    5.6e-06
 203000    1.25e-01  1.29e-01    3.84e-04  7.83e-04    4.85e-02  5.01e-02    5.6e-06
 203100    1.24e-01  1.14e-01    3.79e-04  1.57e-04    4.83e-02  4.42e-02    5.6e-06
 203200    1.25e-01  1.26e-01    1.22e-03  1.50e-03    4.80e-02  4.83e-02    5.6e-06
 203300    1.24e-01  1.27e-01    4.86e-04  1.38e-05    4.83e-02  4.93e-02    5.6e-06
 203400    1.25e-01  1.30e-01    6.20e-04  4.70e-04    4.85e-02  5.05e-02    5.6e-06
 203500    1.24e-01  1.23e-01    6.86e-04  1.59e-04    4.80e-02  4.78e-02    5.6e-06
 203600    1.24e-01  1.11e-01    4.80e-04  2.67e-04    4.80e-02  4.32e-02    5.6e-06
 203700    1.23e-01  1.19e-01    3.81e-04  1.98e-04    4.79e-02  4.64e-02    5.6e-06
 203800    1.24e-01  1.14e-01    6.60e-04  2.03e-04    4.81e-02  4.43e-02    5.6e-06
 203900    1.24e-01  1.21e-01    6.75e-04  7.89e-04    4.80e-02  4.67e-02    5.6e-06
 204000    1.22e-01  1.14e-01    6.37e-04  5.46e-04    4.83e-02  4.54e-02    5.3e-06
 204100    1.22e-01  1.14e-01    1.33e-03  1.05e-03    4.80e-02  4.50e-02    5.3e-06
 204200    1.21e-01  1.22e-01    4.68e-04  5.72e-04    4.80e-02  4.85e-02    5.3e-06
 204300    1.21e-01  1.23e-01    4.72e-04  2.53e-04    4.81e-02  4.89e-02    5.3e-06
 204400    1.21e-01  1.27e-01    6.69e-04  1.53e-04    4.80e-02  5.03e-02    5.3e-06
 204500    1.23e-01  1.12e-01    1.45e-03  7.81e-04    4.80e-02  4.44e-02    5.3e-06
 204600    1.21e-01  1.30e-01    5.88e-04  4.60e-04    4.80e-02  5.16e-02    5.3e-06
 204700    1.21e-01  1.06e-01    6.92e-04  1.02e-03    4.80e-02  4.18e-02    5.3e-06
 204800    1.21e-01  1.26e-01    4.40e-04  5.40e-04    4.80e-02  4.99e-02    5.3e-06
 204900    1.21e-01  1.23e-01    3.75e-04  8.43e-05    4.79e-02  4.87e-02    5.3e-06
 205000    1.21e-01  1.10e-01    6.73e-04  8.93e-04    4.81e-02  4.35e-02    5.3e-06
 205100    1.21e-01  1.17e-01    5.65e-04  2.19e-04    4.81e-02  4.65e-02    5.3e-06
 205200    1.21e-01  1.17e-01    4.62e-04  1.14e-03    4.81e-02  4.62e-02    5.3e-06
 205300    1.21e-01  1.28e-01    7.33e-04  1.95e-04    4.80e-02  5.10e-02    5.3e-06
 205400    1.22e-01  1.24e-01    9.13e-04  1.36e-03    4.80e-02  4.86e-02    5.3e-06
 205500    1.21e-01  1.12e-01    4.11e-04  5.21e-05    4.80e-02  4.43e-02    5.3e-06
 205600    1.22e-01  1.15e-01    1.28e-03  7.50e-04    4.80e-02  4.57e-02    5.3e-06
 205700    1.25e-01  1.26e-01    1.97e-03  1.23e-03    4.84e-02  4.94e-02    5.3e-06
 205800    1.21e-01  1.09e-01    5.42e-04  6.44e-05    4.80e-02  4.33e-02    5.3e-06
 205900    1.21e-01  1.14e-01    8.94e-04  3.11e-04    4.80e-02  4.54e-02    5.3e-06
 206000    1.19e-01  1.20e-01    8.20e-04  6.08e-04    4.81e-02  4.86e-02    5.1e-06
 206100    1.19e-01  1.07e-01    4.82e-04  3.00e-04    4.82e-02  4.34e-02    5.1e-06
 206200    1.19e-01  1.19e-01    1.14e-03  5.72e-04    4.80e-02  4.83e-02    5.1e-06
 206300    1.19e-01  1.20e-01    3.64e-04  2.90e-04    4.81e-02  4.86e-02    5.1e-06
 206400    1.19e-01  1.30e-01    4.21e-04  5.14e-04    4.81e-02  5.25e-02    5.1e-06
 206500    1.18e-01  1.04e-01    4.79e-04  1.28e-04    4.80e-02  4.22e-02    5.1e-06
 206600    1.20e-01  1.13e-01    1.61e-03  1.96e-03    4.80e-02  4.46e-02    5.1e-06
 206700    1.19e-01  1.21e-01    8.32e-04  9.99e-04    4.80e-02  4.88e-02    5.1e-06
 206800    1.19e-01  1.18e-01    9.67e-04  8.84e-04    4.80e-02  4.78e-02    5.1e-06
 206900    1.18e-01  1.18e-01    3.79e-04  3.69e-04    4.80e-02  4.78e-02    5.1e-06
 207000    1.18e-01  1.11e-01    3.95e-04  1.62e-04    4.79e-02  4.51e-02    5.1e-06
 207100    1.19e-01  1.20e-01    6.85e-04  4.30e-04    4.79e-02  4.88e-02    5.1e-06
 207200    1.19e-01  1.15e-01    5.75e-04  8.75e-04    4.80e-02  4.63e-02    5.1e-06
 207300    1.18e-01  1.14e-01    4.14e-04  3.69e-04    4.80e-02  4.64e-02    5.1e-06
 207400    1.18e-01  1.17e-01    6.58e-04  8.89e-04    4.79e-02  4.73e-02    5.1e-06
 207500    1.19e-01  1.30e-01    8.94e-04  5.55e-04    4.80e-02  5.28e-02    5.1e-06
 207600    1.19e-01  1.15e-01    6.97e-04  7.39e-04    4.80e-02  4.63e-02    5.1e-06
 207700    1.19e-01  1.13e-01    8.88e-04  1.21e-03    4.79e-02  4.52e-02    5.1e-06
 207800    1.19e-01  1.11e-01    1.03e-03  5.70e-04    4.81e-02  4.48e-02    5.1e-06
 207900    1.18e-01  1.12e-01    4.05e-04  1.40e-04    4.80e-02  4.52e-02    5.1e-06
 208000    1.16e-01  1.07e-01    3.85e-04  2.74e-04    4.79e-02  4.41e-02    4.8e-06
 208100    1.16e-01  1.11e-01    8.81e-04  5.31e-04    4.80e-02  4.58e-02    4.8e-06
 208200    1.16e-01  1.16e-01    6.82e-04  7.25e-04    4.80e-02  4.80e-02    4.8e-06
 208300    1.16e-01  1.14e-01    6.81e-04  1.26e-03    4.81e-02  4.67e-02    4.8e-06
 208400    1.16e-01  1.07e-01    6.25e-04  7.26e-05    4.80e-02  4.45e-02    4.8e-06
 208500    1.17e-01  1.17e-01    8.43e-04  1.74e-03    4.82e-02  4.73e-02    4.8e-06
 208600    1.16e-01  1.22e-01    4.34e-04  2.96e-04    4.79e-02  5.04e-02    4.8e-06
 208700    1.16e-01  1.15e-01    7.66e-04  8.80e-04    4.81e-02  4.73e-02    4.8e-06
 208800    1.17e-01  1.13e-01    3.77e-04  6.82e-04    4.83e-02  4.67e-02    4.8e-06
 208900    1.16e-01  1.17e-01    4.43e-04  3.25e-04    4.80e-02  4.86e-02    4.8e-06
 209000    1.18e-01  1.11e-01    1.40e-03  1.24e-03    4.81e-02  4.53e-02    4.8e-06
 209100    1.16e-01  1.06e-01    3.72e-04  3.87e-04    4.79e-02  4.37e-02    4.8e-06
 209200    1.16e-01  1.21e-01    5.00e-04  3.63e-04    4.80e-02  5.03e-02    4.8e-06
 209300    1.17e-01  1.24e-01    3.61e-04  3.39e-04    4.84e-02  5.12e-02    4.8e-06
 209400    1.16e-01  1.09e-01    6.23e-04  4.27e-04    4.79e-02  4.50e-02    4.8e-06
 209500    1.16e-01  1.12e-01    4.00e-04  4.27e-04    4.80e-02  4.63e-02    4.8e-06
 209600    1.16e-01  1.10e-01    6.32e-04  3.48e-04    4.80e-02  4.54e-02    4.8e-06
 209700    1.16e-01  1.11e-01    3.97e-04  1.02e-03    4.80e-02  4.56e-02    4.8e-06
 209800    1.16e-01  1.23e-01    6.05e-04  7.91e-04    4.80e-02  5.07e-02    4.8e-06
 209900    1.16e-01  1.21e-01    3.85e-04  5.34e-04    4.79e-02  5.00e-02    4.8e-06
 210000    1.14e-01  1.16e-01    7.11e-04  2.06e-04    4.80e-02  4.90e-02    4.6e-06
 210100    1.14e-01  1.18e-01    5.99e-04  1.87e-04    4.82e-02  5.00e-02    4.6e-06
 210200    1.16e-01  1.18e-01    1.53e-03  1.30e-03    4.81e-02  4.94e-02    4.6e-06
 210300    1.15e-01  9.97e-02    1.13e-03  1.01e-03    4.81e-02  4.18e-02    4.6e-06
 210400    1.15e-01  1.06e-01    1.53e-03  1.11e-03    4.80e-02  4.44e-02    4.6e-06
 210500    1.14e-01  1.10e-01    7.44e-04  7.23e-04    4.80e-02  4.65e-02    4.6e-06
 210600    1.14e-01  1.10e-01    6.95e-04  2.37e-04    4.79e-02  4.64e-02    4.6e-06
 210700    1.13e-01  1.25e-01    4.52e-04  2.88e-04    4.80e-02  5.28e-02    4.6e-06
 210800    1.14e-01  1.15e-01    5.19e-04  1.36e-04    4.81e-02  4.87e-02    4.6e-06
 210900    1.14e-01  1.10e-01    4.75e-04  3.17e-04    4.80e-02  4.63e-02    4.6e-06
 211000    1.15e-01  1.19e-01    1.22e-03  1.38e-03    4.80e-02  4.99e-02    4.6e-06
 211100    1.14e-01  1.15e-01    6.32e-04  6.26e-04    4.80e-02  4.85e-02    4.6e-06
 211200    1.14e-01  1.05e-01    9.20e-04  7.34e-04    4.79e-02  4.43e-02    4.6e-06
 211300    1.14e-01  1.11e-01    6.21e-04  7.44e-04    4.81e-02  4.66e-02    4.6e-06
 211400    1.14e-01  1.06e-01    7.42e-04  6.80e-04    4.80e-02  4.47e-02    4.6e-06
 211500    1.16e-01  1.16e-01    1.85e-03  1.58e-03    4.80e-02  4.81e-02    4.6e-06
 211600    1.14e-01  1.08e-01    9.22e-04  3.95e-04    4.80e-02  4.55e-02    4.6e-06
 211700    1.13e-01  1.25e-01    3.78e-04  3.32e-04    4.80e-02  5.27e-02    4.6e-06
 211800    1.14e-01  1.20e-01    6.13e-04  2.64e-04    4.80e-02  5.09e-02    4.6e-06
 211900    1.13e-01  1.12e-01    4.24e-04  8.51e-04    4.79e-02  4.73e-02    4.6e-06
 212000    1.12e-01  1.18e-01    8.55e-04  4.89e-04    4.79e-02  5.11e-02    4.4e-06
 212100    1.12e-01  1.09e-01    9.79e-04  1.93e-04    4.79e-02  4.73e-02    4.4e-06
 212200    1.11e-01  1.16e-01    7.48e-04  8.71e-04    4.79e-02  4.97e-02    4.4e-06
 212300    1.12e-01  1.00e-01    1.13e-03  6.23e-04    4.81e-02  4.33e-02    4.4e-06
 212400    1.11e-01  1.09e-01    8.61e-04  3.18e-04    4.79e-02  4.70e-02    4.4e-06
 212500    1.11e-01  1.17e-01    7.01e-04  1.01e-03    4.79e-02  5.03e-02    4.4e-06
 212600    1.11e-01  1.09e-01    3.71e-04  1.27e-04    4.79e-02  4.73e-02    4.4e-06
 212700    1.11e-01  1.10e-01    3.86e-04  3.38e-04    4.81e-02  4.74e-02    4.4e-06
 212800    1.12e-01  1.10e-01    1.07e-03  6.40e-04    4.80e-02  4.75e-02    4.4e-06
 212900    1.11e-01  1.03e-01    4.39e-04  8.15e-04    4.81e-02  4.41e-02    4.4e-06
 213000    1.13e-01  1.09e-01    1.20e-03  8.04e-04    4.81e-02  4.67e-02    4.4e-06
 213100    1.12e-01  1.09e-01    1.26e-03  5.15e-04    4.80e-02  4.70e-02    4.4e-06
 213200    1.12e-01  9.72e-02    7.19e-04  4.08e-04    4.82e-02  4.19e-02    4.4e-06
 213300    1.11e-01  1.15e-01    3.75e-04  3.17e-04    4.79e-02  4.97e-02    4.4e-06
 213400    1.11e-01  1.05e-01    3.87e-04  4.99e-04    4.79e-02  4.52e-02    4.4e-06
 213500    1.12e-01  9.76e-02    5.58e-04  2.24e-04    4.82e-02  4.22e-02    4.4e-06
 213600    1.12e-01  1.10e-01    1.10e-03  3.53e-04    4.80e-02  4.74e-02    4.4e-06
 213700    1.13e-01  9.99e-02    1.33e-03  7.53e-04    4.80e-02  4.30e-02    4.4e-06
 213800    1.11e-01  1.06e-01    4.73e-04  5.99e-04    4.80e-02  4.58e-02    4.4e-06
 213900    1.11e-01  1.05e-01    5.59e-04  1.51e-04    4.79e-02  4.55e-02    4.4e-06
 214000    1.09e-01  1.08e-01    3.80e-04  2.43e-04    4.81e-02  4.76e-02    4.1e-06
 214100    1.09e-01  1.11e-01    3.65e-04  1.22e-04    4.80e-02  4.89e-02    4.1e-06
 214200    1.09e-01  1.01e-01    3.73e-04  3.84e-04    4.80e-02  4.45e-02    4.1e-06
 214300    1.10e-01  1.12e-01    1.43e-03  1.10e-03    4.80e-02  4.88e-02    4.1e-06
 214400    1.09e-01  1.12e-01    4.09e-04  1.47e-04    4.80e-02  4.94e-02    4.1e-06
 214500    1.09e-01  1.10e-01    3.76e-04  6.55e-04    4.80e-02  4.85e-02    4.1e-06
 214600    1.09e-01  1.15e-01    4.09e-04  2.14e-04    4.80e-02  5.09e-02    4.1e-06
 214700    1.09e-01  1.11e-01    6.57e-04  3.18e-04    4.79e-02  4.90e-02    4.1e-06
 214800    1.09e-01  1.06e-01    5.37e-04  3.14e-04    4.79e-02  4.68e-02    4.1e-06
 214900    1.09e-01  1.07e-01    6.09e-04  4.97e-04    4.81e-02  4.69e-02    4.1e-06
 215000    1.09e-01  1.03e-01    8.04e-04  9.63e-04    4.80e-02  4.49e-02    4.1e-06
 215100    1.09e-01  1.05e-01    3.76e-04  3.83e-04    4.79e-02  4.64e-02    4.1e-06
 215200    1.09e-01  1.04e-01    5.74e-04  9.09e-04    4.80e-02  4.55e-02    4.1e-06
 215300    1.09e-01  1.10e-01    3.95e-04  4.40e-04    4.79e-02  4.86e-02    4.1e-06
 215400    1.09e-01  1.05e-01    5.64e-04  6.12e-04    4.79e-02  4.64e-02    4.1e-06
 215500    1.09e-01  1.14e-01    4.86e-04  1.15e-04    4.80e-02  5.05e-02    4.1e-06
 215600    1.09e-01  1.01e-01    4.89e-04  3.59e-05    4.79e-02  4.47e-02    4.1e-06
 215700    1.09e-01  1.12e-01    6.81e-04  4.65e-04    4.80e-02  4.95e-02    4.1e-06
 215800    1.10e-01  1.09e-01    1.08e-03  1.67e-03    4.79e-02  4.69e-02    4.1e-06
 215900    1.10e-01  1.02e-01    1.07e-03  1.10e-03    4.82e-02  4.45e-02    4.1e-06
 216000    1.09e-01  1.04e-01    1.10e-03  8.41e-04    4.84e-02  4.66e-02    3.9e-06
 216100    1.08e-01  1.07e-01    1.22e-03  6.61e-04    4.79e-02  4.81e-02    3.9e-06
 216200    1.07e-01  1.05e-01    3.79e-04  5.09e-04    4.81e-02  4.71e-02    3.9e-06
 216300    1.07e-01  1.10e-01    5.35e-04  1.70e-04    4.79e-02  4.93e-02    3.9e-06
 216400    1.07e-01  1.06e-01    8.04e-04  2.32e-04    4.80e-02  4.76e-02    3.9e-06
 216500    1.07e-01  1.11e-01    6.30e-04  3.88e-04    4.80e-02  4.97e-02    3.9e-06
 216600    1.07e-01  1.10e-01    5.80e-04  5.07e-04    4.80e-02  4.95e-02    3.9e-06
 216700    1.07e-01  1.08e-01    7.48e-04  1.82e-03    4.82e-02  4.75e-02    3.9e-06
 216800    1.07e-01  1.01e-01    3.98e-04  5.89e-05    4.79e-02  4.55e-02    3.9e-06
 216900    1.07e-01  1.07e-01    5.23e-04  3.75e-04    4.80e-02  4.83e-02    3.9e-06
 217000    1.07e-01  1.11e-01    5.14e-04  5.62e-04    4.80e-02  4.99e-02    3.9e-06
 217100    1.07e-01  1.06e-01    7.01e-04  2.72e-04    4.79e-02  4.78e-02    3.9e-06
 217200    1.07e-01  9.99e-02    3.97e-04  2.71e-05    4.79e-02  4.50e-02    3.9e-06
 217300    1.06e-01  1.05e-01    3.89e-04  3.29e-04    4.79e-02  4.74e-02    3.9e-06
 217400    1.07e-01  1.11e-01    5.76e-04  7.51e-04    4.79e-02  5.00e-02    3.9e-06
 217500    1.06e-01  9.62e-02    3.69e-04  5.02e-04    4.79e-02  4.32e-02    3.9e-06
 217600    1.07e-01  1.12e-01    8.19e-04  3.15e-04    4.80e-02  5.04e-02    3.9e-06
 217700    1.08e-01  1.09e-01    1.52e-03  1.56e-03    4.79e-02  4.80e-02    3.9e-06
 217800    1.08e-01  1.09e-01    1.23e-03  6.07e-04    4.80e-02  4.89e-02    3.9e-06
 217900    1.08e-01  1.02e-01    1.29e-03  8.55e-04    4.80e-02  4.55e-02    3.9e-06
 218000    1.05e-01  1.13e-01    6.62e-04  9.73e-05    4.79e-02  5.22e-02    3.7e-06
 218100    1.05e-01  1.10e-01    7.45e-04  8.79e-04    4.80e-02  5.04e-02    3.7e-06
 218200    1.05e-01  1.01e-01    8.56e-04  1.03e-03    4.81e-02  4.58e-02    3.7e-06
 218300    1.05e-01  9.92e-02    6.31e-04  2.28e-04    4.80e-02  4.56e-02    3.7e-06
 218400    1.05e-01  1.02e-01    5.54e-04  7.54e-04    4.82e-02  4.66e-02    3.7e-06
 218500    1.04e-01  9.12e-02    4.72e-04  5.44e-04    4.79e-02  4.18e-02    3.7e-06
 218600    1.06e-01  1.09e-01    1.28e-03  8.78e-04    4.80e-02  4.99e-02    3.7e-06
 218700    1.04e-01  1.04e-01    4.21e-04  4.90e-04    4.79e-02  4.76e-02    3.7e-06
 218800    1.04e-01  1.11e-01    3.92e-04  5.14e-04    4.80e-02  5.11e-02    3.7e-06
 218900    1.04e-01  9.71e-02    3.95e-04  1.02e-05    4.79e-02  4.46e-02    3.7e-06
 219000    1.05e-01  1.06e-01    8.41e-04  1.45e-04    4.80e-02  4.89e-02    3.7e-06
 219100    1.05e-01  1.03e-01    5.22e-04  3.48e-04    4.80e-02  4.73e-02    3.7e-06
 219200    1.05e-01  1.03e-01    6.31e-04  4.60e-04    4.79e-02  4.74e-02    3.7e-06
 219300    1.04e-01  1.07e-01    3.77e-04  4.06e-04    4.79e-02  4.93e-02    3.7e-06
 219400    1.05e-01  1.07e-01    6.80e-04  5.40e-04    4.82e-02  4.91e-02    3.7e-06
 219500    1.04e-01  9.95e-02    4.50e-04  4.83e-04    4.79e-02  4.56e-02    3.7e-06
 219600    1.05e-01  1.05e-01    3.97e-04  4.14e-04    4.80e-02  4.82e-02    3.7e-06
 219700    1.06e-01  1.07e-01    1.53e-03  1.18e-03    4.79e-02  4.86e-02    3.7e-06
 219800    1.04e-01  1.09e-01    3.74e-04  4.02e-04    4.80e-02  5.00e-02    3.7e-06
 219900    1.05e-01  1.04e-01    6.88e-04  3.46e-04    4.79e-02  4.78e-02    3.7e-06
 220000    1.02e-01  9.63e-02    4.72e-04  6.85e-04    4.79e-02  4.50e-02    3.5e-06
 220100    1.02e-01  1.07e-01    4.16e-04  7.83e-04    4.79e-02  5.00e-02    3.5e-06
 220200    1.04e-01  1.04e-01    1.49e-03  1.67e-03    4.79e-02  4.77e-02    3.5e-06
 220300    1.03e-01  1.02e-01    6.31e-04  3.74e-04    4.79e-02  4.80e-02    3.5e-06
 220400    1.03e-01  1.01e-01    5.62e-04  6.13e-05    4.80e-02  4.76e-02    3.5e-06
 220500    1.03e-01  1.05e-01    9.23e-04  8.76e-04    4.79e-02  4.88e-02    3.5e-06
 220600    1.02e-01  1.01e-01    3.77e-04  5.62e-04    4.79e-02  4.72e-02    3.5e-06
 220700    1.03e-01  1.09e-01    6.37e-04  1.86e-04    4.79e-02  5.13e-02    3.5e-06
 220800    1.02e-01  1.10e-01    4.67e-04  3.23e-04    4.79e-02  5.15e-02    3.5e-06
 220900    1.03e-01  1.08e-01    5.76e-04  2.12e-04    4.80e-02  5.08e-02    3.5e-06
 221000    1.03e-01  1.03e-01    4.64e-04  3.59e-04    4.80e-02  4.83e-02    3.5e-06
 221100    1.04e-01  1.01e-01    1.22e-03  1.01e-03    4.80e-02  4.72e-02    3.5e-06
 221200    1.03e-01  1.07e-01    7.19e-04  5.73e-04    4.80e-02  5.00e-02    3.5e-06
 221300    1.02e-01  1.05e-01    4.02e-04  4.93e-04    4.80e-02  4.91e-02    3.5e-06
 221400    1.02e-01  1.04e-01    3.64e-04  1.20e-03    4.80e-02  4.84e-02    3.5e-06
 221500    1.03e-01  1.04e-01    8.07e-04  1.29e-03    4.81e-02  4.82e-02    3.5e-06
 221600    1.02e-01  9.72e-02    4.07e-04  8.33e-05    4.79e-02  4.56e-02    3.5e-06
 221700    1.02e-01  9.17e-02    4.79e-04  7.95e-04    4.79e-02  4.27e-02    3.5e-06
 221800    1.03e-01  1.12e-01    8.08e-04  1.13e-03    4.81e-02  5.18e-02    3.5e-06
 221900    1.05e-01  1.07e-01    1.57e-03  1.40e-03    4.80e-02  4.93e-02    3.5e-06
 222000    1.00e-01  1.02e-01    4.29e-04  4.47e-04    4.79e-02  4.89e-02    3.4e-06
 222100    1.00e-01  9.34e-02    5.71e-04  4.32e-04    4.79e-02  4.46e-02    3.4e-06
 222200    1.01e-01  9.18e-02    6.23e-04  1.17e-04    4.80e-02  4.39e-02    3.4e-06
 222300    1.00e-01  1.08e-01    5.18e-04  6.45e-04    4.79e-02  5.13e-02    3.4e-06
 222400    1.00e-01  9.96e-02    4.43e-04  3.66e-05    4.80e-02  4.77e-02    3.4e-06
 222500    1.00e-01  1.05e-01    3.83e-04  5.96e-05    4.79e-02  5.00e-02    3.4e-06
 222600    1.01e-01  9.31e-02    6.45e-04  5.77e-04    4.79e-02  4.44e-02    3.4e-06
 222700    1.00e-01  9.99e-02    3.91e-04  6.10e-04    4.79e-02  4.76e-02    3.4e-06
 222800    1.01e-01  1.02e-01    8.40e-04  7.19e-04    4.79e-02  4.84e-02    3.4e-06
 222900    1.00e-01  1.03e-01    3.76e-04  2.93e-04    4.79e-02  4.94e-02    3.4e-06
 223000    1.02e-01  9.88e-02    1.19e-03  7.10e-04    4.80e-02  4.70e-02    3.4e-06
 223100    1.01e-01  9.44e-02    7.69e-04  9.26e-04    4.79e-02  4.48e-02    3.4e-06
 223200    1.00e-01  1.00e-01    3.73e-04  3.37e-04    4.80e-02  4.80e-02    3.4e-06
 223300    1.00e-01  9.95e-02    5.01e-04  1.02e-03    4.79e-02  4.71e-02    3.4e-06
 223400    1.01e-01  8.98e-02    8.31e-04  3.32e-04    4.79e-02  4.29e-02    3.4e-06
 223500    1.00e-01  9.27e-02    3.66e-04  1.14e-04    4.79e-02  4.44e-02    3.4e-06
 223600    1.01e-01  1.00e-01    4.42e-04  3.83e-04    4.80e-02  4.78e-02    3.4e-06
 223700    1.01e-01  8.78e-02    3.85e-04  8.48e-05    4.81e-02  4.20e-02    3.4e-06
 223800    1.00e-01  8.70e-02    3.76e-04  1.21e-04    4.79e-02  4.16e-02    3.4e-06
 223900    1.00e-01  1.07e-01    4.39e-04  1.93e-04    4.79e-02  5.10e-02    3.4e-06
 224000    9.83e-02  1.00e-01    3.99e-04  1.30e-03    4.79e-02  4.81e-02    3.2e-06
 224100    9.89e-02  9.88e-02    8.47e-04  5.81e-04    4.80e-02  4.81e-02    3.2e-06
 224200    1.01e-01  1.07e-01    1.73e-03  1.74e-03    4.79e-02  5.08e-02    3.2e-06
 224300    9.86e-02  9.52e-02    7.28e-04  6.08e-04    4.79e-02  4.63e-02    3.2e-06
 224400    9.86e-02  1.06e-01    6.96e-04  8.63e-04    4.79e-02  5.12e-02    3.2e-06
 224500    9.84e-02  9.46e-02    4.51e-04  2.59e-05    4.79e-02  4.62e-02    3.2e-06
 224600    9.88e-02  9.33e-02    8.46e-04  1.28e-03    4.79e-02  4.47e-02    3.2e-06
 224700    9.82e-02  1.04e-01    3.69e-04  2.39e-04    4.79e-02  5.06e-02    3.2e-06
 224800    9.95e-02  1.05e-01    9.30e-04  7.65e-04    4.82e-02  5.10e-02    3.2e-06
 224900    9.84e-02  9.94e-02    4.74e-04  7.80e-04    4.79e-02  4.82e-02    3.2e-06
 225000    9.84e-02  1.03e-01    4.21e-04  2.05e-04    4.80e-02  5.03e-02    3.2e-06
 225100    9.89e-02  1.05e-01    8.15e-04  4.85e-04    4.79e-02  5.09e-02    3.2e-06
 225200    9.84e-02  1.02e-01    5.11e-04  1.03e-03    4.79e-02  4.92e-02    3.2e-06
 225300    9.90e-02  9.60e-02    8.52e-04  4.00e-04    4.80e-02  4.68e-02    3.2e-06
 225400    9.89e-02  1.05e-01    8.76e-04  4.18e-04    4.79e-02  5.13e-02    3.2e-06
 225500    9.92e-02  1.01e-01    9.35e-04  1.31e-03    4.80e-02  4.84e-02    3.2e-06
 225600    9.85e-02  8.60e-02    5.57e-04  5.12e-04    4.79e-02  4.18e-02    3.2e-06
 225700    9.84e-02  1.04e-01    4.59e-04  3.13e-04    4.79e-02  5.08e-02    3.2e-06
 225800    9.89e-02  9.97e-02    8.94e-04  9.04e-04    4.79e-02  4.83e-02    3.2e-06
 225900    9.83e-02  9.89e-02    4.27e-04  2.16e-04    4.79e-02  4.82e-02    3.2e-06
 226000    9.67e-02  9.49e-02    6.16e-04  1.70e-04    4.79e-02  4.72e-02    3.0e-06
 226100    9.68e-02  9.44e-02    6.99e-04  8.63e-04    4.79e-02  4.66e-02    3.0e-06
 226200    9.66e-02  9.34e-02    4.26e-04  2.56e-04    4.80e-02  4.65e-02    3.0e-06
 226300    9.65e-02  9.90e-02    5.71e-04  8.93e-04    4.79e-02  4.89e-02    3.0e-06
 226400    9.68e-02  9.78e-02    6.80e-04  3.76e-04    4.80e-02  4.86e-02    3.0e-06
 226500    9.67e-02  8.90e-02    6.76e-04  3.10e-04    4.79e-02  4.42e-02    3.0e-06
