# data_e pred_e
-1.445006849447583954e+05 -1.445001352143531549e+05
-1.445008289874950133e+05 -1.445006455040149449e+05
-1.444983156179817743e+05 -1.444974157797087391e+05
-1.444983357795763586e+05 -1.444978317163492902e+05
-1.444983716293718317e+05 -1.444980379960597202e+05
-1.444995904175947071e+05 -1.444990175476573932e+05
-1.444987624379633344e+05 -1.444981163992801739e+05
-1.444989234429269854e+05 -1.444985000949435344e+05
-1.444980720750078035e+05 -1.444979696212495328e+05
-1.445001876218524703e+05 -1.444996397998697066e+05
-1.444991505547993584e+05 -1.444986115222525550e+05
-1.445008005110702652e+05 -1.445003791035241447e+05
-1.444997462865157868e+05 -1.444993822653510142e+05
-1.445021318177694629e+05 -1.445017786219339469e+05
-1.444985643240056233e+05 -1.444977228041983908e+05
-1.444980301783992618e+05 -1.444976510527414212e+05
-1.445023809554610925e+05 -1.445021609711255878e+05
-1.445011637215769442e+05 -1.445008200893209723e+05
-1.444997746897772886e+05 -1.444991497616773413e+05
-1.445001255944962031e+05 -1.444995008386125846e+05
-1.444986269238839741e+05 -1.444977439036985743e+05
-1.444978215585506987e+05 -1.444972206015522243e+05
-1.444972755305003957e+05 -1.444964843277370674e+05
-1.444987391401696950e+05 -1.444986746314716875e+05
-1.444986534575873520e+05 -1.444979811758274154e+05
-1.444993849519455689e+05 -1.444989121199222282e+05
-1.444999692891181330e+05 -1.444995355768524751e+05
-1.444982933254691307e+05 -1.444977777952390898e+05
-1.445000026789174590e+05 -1.444995064023385057e+05
-1.444994750986071303e+05 -1.444990365903065249e+05
-1.444984060715795786e+05 -1.444979704377095331e+05
-1.444974855139114079e+05 -1.444968276420851180e+05
-1.444973077146557916e+05 -1.444966956888015266e+05
-1.444974190752822906e+05 -1.444970655054384260e+05
-1.445012760626214440e+05 -1.445007513004591456e+05
-1.444993304452171142e+05 -1.444990032479366055e+05
-1.444988115094981331e+05 -1.444978355067422381e+05
-1.444995214667371765e+05 -1.444990784165252990e+05
-1.444988651804724650e+05 -1.444983895349554950e+05
-1.444997176698027179e+05 -1.444992473748346674e+05
-1.444974433368324244e+05 -1.444966822132889065e+05
-1.444987588761891238e+05 -1.444985865899926284e+05
-1.444997741823883844e+05 -1.444994135898132517e+05
-1.444984478663331538e+05 -1.444979303628515918e+05
-1.444998058004109480e+05 -1.444992509422520525e+05
-1.444987143807981920e+05 -1.444982313418660779e+05
-1.445005866286598030e+05 -1.444999937626298051e+05
-1.444999416881679499e+05 -1.444994954849859350e+05
-1.444999980109269964e+05 -1.444993905968100880e+05
-1.444999602202931710e+05 -1.444996209959109547e+05
-1.445007628574403061e+05 -1.445004502648602065e+05
-1.444986633230609586e+05 -1.444979639707301685e+05
-1.444987374659485067e+05 -1.444983735651108436e+05
-1.444985914679215639e+05 -1.444979443075827730e+05
-1.444988806360622984e+05 -1.444984154548474762e+05
-1.445007327606701292e+05 -1.445001205893425504e+05
-1.444986921960998152e+05 -1.444982322644573869e+05
-1.444994634453891485e+05 -1.444985912550599605e+05
-1.445001304268515669e+05 -1.444996337139848329e+05
-1.445017205597576685e+05 -1.445012243447154760e+05
-1.444999643359034089e+05 -1.444995417696755612e+05
-1.444998528150372440e+05 -1.444994122462558735e+05
-1.444987582858680689e+05 -1.444979451881779532e+05
-1.444992188314676168e+05 -1.444987696268314030e+05
-1.445012197350269125e+05 -1.445006858962499246e+05
-1.444980540266520111e+05 -1.444977297599101439e+05
-1.444999552852393244e+05 -1.444993872096504201e+05
-1.444970794821452000e+05 -1.444965669460702338e+05
-1.445001480595398461e+05 -1.444996683253559750e+05
-1.445002341145644314e+05 -1.444995624278360046e+05
-1.445004844895032584e+05 -1.444998663262702757e+05
-1.444997737954778713e+05 -1.444992268367721408e+05
-1.445003108215724933e+05 -1.444996783177183825e+05
-1.445004007313426409e+05 -1.444996624559714110e+05
-1.444996726603887510e+05 -1.444987955343739595e+05
-1.444973616203963466e+05 -1.444963908276946458e+05
-1.444995198775216413e+05 -1.444990160853905836e+05
-1.444966322800885537e+05 -1.444957906846572878e+05
-1.444978791783267807e+05 -1.444970452440912486e+05
-1.445007221391064522e+05 -1.445001617560532759e+05
-1.444989470997231547e+05 -1.444980614731693349e+05
-1.444982484100460133e+05 -1.444975227134325251e+05
-1.445005155688438390e+05 -1.444999641097562271e+05
-1.444989618647615425e+05 -1.444986047383012774e+05
-1.444998253730341967e+05 -1.444994013136619178e+05
-1.444991922628329776e+05 -1.444986752803227864e+05
-1.444987844293439121e+05 -1.444983452203067136e+05
-1.444973803506394906e+05 -1.444968190044418152e+05
-1.444981554996139894e+05 -1.444975417944864312e+05
-1.445020392610337294e+05 -1.445015436759020376e+05
-1.444980403696774738e+05 -1.444968927210531547e+05
-1.444997663347341295e+05 -1.444994292268426216e+05
-1.444992844934103778e+05 -1.444988641763530031e+05
-1.445003321709983866e+05 -1.444999361003641388e+05
-1.444985708470450772e+05 -1.444980543356766284e+05
-1.444983995676914928e+05 -1.444981620391955948e+05
-1.444986289652547857e+05 -1.444982289691875922e+05
-1.444985546581683157e+05 -1.444981115856441029e+05
-1.444982478101030283e+05 -1.444973712473896157e+05
-1.445010207912988553e+05 -1.445005212345549371e+05
-1.444987362632026197e+05 -1.444983390477614303e+05
-1.444993100169319368e+05 -1.444989488042306621e+05
-1.445006689227744937e+05 -1.445003666966682358e+05
-1.444985871573390323e+05 -1.444979549331777089e+05
-1.444983814458595007e+05 -1.444977610093609255e+05
-1.444993273418268363e+05 -1.444990024896639225e+05
-1.444999569129208976e+05 -1.444993194155865931e+05
-1.444981791356777831e+05 -1.444978123473800952e+05
-1.444978054525816115e+05 -1.444969775393962336e+05
-1.444978960134439694e+05 -1.444969785327610152e+05
-1.444979223245119792e+05 -1.444970501820553618e+05
-1.444981826843742456e+05 -1.444977398767508566e+05
-1.444969932427580643e+05 -1.444964723921163240e+05
-1.444998360232024570e+05 -1.444988309455740964e+05
-1.444998904122580134e+05 -1.444995308281317702e+05
-1.444997290389801492e+05 -1.444990785965421528e+05
-1.444990068033143179e+05 -1.444984633493321307e+05
-1.444985158641337475e+05 -1.444979258561405004e+05
-1.444999406388616189e+05 -1.444994959550694912e+05
-1.444975229425086582e+05 -1.444970740013376926e+05
-1.444992622398100211e+05 -1.444989379154809867e+05
-1.444987496295159799e+05 -1.444982716576961102e+05
-1.444973745702285960e+05 -1.444969734071847342e+05
-1.444984843247547979e+05 -1.444977745459869620e+05
-1.444994941896623641e+05 -1.444985474828141159e+05
-1.444986332914457598e+05 -1.444980509112172876e+05
-1.445007420800765976e+05 -1.445001505546744156e+05
